year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,n_birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,n_death_country,religion
1974,Chemistry,The Nobel Prize in Chemistry 1974,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""",1.ינו׳,246,Individual,Paul J. Flory,19.6.1910,"Sterling, IL",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,8.9.1985,"Big Sur, CA",United States of America,United States of America,
1975,Chemistry,The Nobel Prize in Chemistry 1975,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",1.פבר׳,247,Individual,John Warcup Cornforth,7.9.1917,Sydney,Australia,Australia,Male,University of Sussex,Brighton,United Kingdom,8.12.2013,NA,NA,NA,
1975,Chemistry,The Nobel Prize in Chemistry 1975,"""for his research into the stereochemistry of organic molecules and reactions""",1.פבר׳,248,Individual,Vladimir Prelog,23.7.1906,Sarajevo,Austria-Hungary (Bosnia and Herzegovina),Bosnia,Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,7.1.1998,Zurich,Switzerland,Switzerland,
1976,Chemistry,The Nobel Prize in Chemistry 1976,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",1.ינו׳,249,Individual,William N. Lipscomb,9.12.1919,"Cleveland, OH",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,14.4.2011,"Cambridge, MA",United States of America,United States of America,
1977,Chemistry,The Nobel Prize in Chemistry 1977,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",1.ינו׳,250,Individual,Ilya Prigogine,25.1.1917,Moscow,Russia,Russia,Male,Université Libre de Bruxelles,Brussels,Belgium,28.5.2003,Brussels,Belgium,Belgium,
1978,Chemistry,The Nobel Prize in Chemistry 1978,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",1.ינו׳,251,Individual,Peter D. Mitchell,29.9.1920,Mitcham,United Kingdom,United Kingdom,Male,Glynn Research Laboratories,Bodmin,United Kingdom,10.4.1992,Bodmin,United Kingdom,United Kingdom,
1979,Chemistry,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",1.פבר׳,252,Individual,Herbert C. Brown,22.5.1912,London,United Kingdom,United Kingdom,Male,Purdue University,"West Lafayette, IN",United States of America,19.12.2004,"Lafayette, IN",United States of America,United States of America,
1979,Chemistry,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",1.פבר׳,253,Individual,Georg Wittig,1897-06-16,Berlin,Germany,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,26.8.1987,Heidelberg,West Germany (Germany),Germany,
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",1.פבר׳,254,Individual,Paul Berg,30.6.1926,"New York, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,NA,NA,NA,NA,
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids""",1.אפר׳,255,Individual,Walter Gilbert,21.3.1932,"Boston, MA",United States of America,United States of America,Male,"Harvard University, Biological Laboratories","Cambridge, MA",United States of America,NA,NA,NA,NA,
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids""",1.אפר׳,222,Individual,Frederick Sanger,13.8.1918,Rendcombe,United Kingdom,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,19.11.2013,Cambridge,United Kingdom,United Kingdom,
1981,Chemistry,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",1.פבר׳,257,Individual,Kenichi Fukui,4.10.1918,Nara,Japan,Japan,Male,Kyoto University,Kyoto,Japan,9.1.1998,Kyoto,Japan,Japan,
1981,Chemistry,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",1.פבר׳,258,Individual,Roald Hoffmann,18.7.1937,Zloczov,Poland (Ukraine),Ukraine,Male,Cornell University,"Ithaca, NY",United States of America,NA,NA,NA,NA,
1982,Chemistry,The Nobel Prize in Chemistry 1982,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",1.ינו׳,259,Individual,Aaron Klug,11.8.1926,Zelvas,Lithuania,Lithuania,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,NA,NA,NA,NA,
1983,Chemistry,The Nobel Prize in Chemistry 1983,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",1.ינו׳,260,Individual,Henry Taube,30.11.1915,Neudorf,Canada,Canada,Male,Stanford University,"Stanford, CA",United States of America,16.11.2005,"Stanford, CA",United States of America,United States of America,
1984,Chemistry,The Nobel Prize in Chemistry 1984,"""for his development of methodology for chemical synthesis on a solid matrix""",1.ינו׳,261,Individual,Robert Bruce Merrifield,15.7.1921,"Fort Worth, TX",United States of America,United States of America,Male,Rockefeller University,"New York, NY",United States of America,14.5.2006,"Cresskill, NJ",United States of America,United States of America,
1985,Chemistry,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",1.פבר׳,263,Individual,Jerome Karle,18.6.1918,"New York, NY",United States of America,United States of America,Male,US Naval Research Laboratory,"Washington, DC",United States of America,6.6.2013,NA,NA,NA,
1985,Chemistry,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",1.פבר׳,262,Individual,Herbert A. Hauptman,14.2.1917,"New York, NY",United States of America,United States of America,Male,The Medical Foundation of Buffalo,"Buffalo, NY",United States of America,23.10.2011,"Buffalo, NY",United States of America,United States of America,
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",1.מרץ,266,Individual,John C. Polanyi,23.1.1929,Berlin,Germany,Germany,Male,University of Toronto,Toronto,Canada,NA,NA,NA,NA,
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",1.מרץ,265,Individual,Yuan T. Lee,19.11.1936,Hsinchu,Taiwan,Taiwan,Male,University of California,"Berkeley, CA",United States of America,NA,NA,NA,NA,
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",1.מרץ,264,Individual,Dudley R. Herschbach,18.6.1932,"San José, CA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,NA,
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",1.מרץ,268,Individual,Jean-Marie Lehn,30.9.1939,Rosheim,France,France,Male,Université Louis Pasteur,Strasbourg,France,NA,NA,NA,NA,
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",1.מרץ,269,Individual,Charles J. Pedersen,3.10.1904,Pusan,Korea (South Korea),South Korea,Male,Du Pont,"Wilmington, DE",United States of America,26.10.1989,"Salem, NJ",United States of America,United States of America,
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",1.מרץ,267,Individual,Donald J. Cram,22.4.1919,"Chester, VT",United States of America,United States of America,Male,University of California,"Los Angeles, CA",United States of America,17.6.2001,"Palm Desert, CA",United States of America,United States of America,
1988,Chemistry,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",1.מרץ,271,Individual,Robert Huber,20.2.1937,Munich,Germany,Germany,Male,Max-Planck-Institut für Biochemie,Martinsried,Federal Republic of Germany,NA,NA,NA,NA,
1988,Chemistry,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",1.מרץ,272,Individual,Hartmut Michel,18.7.1948,Ludwigsburg,West Germany (Germany),Germany,Male,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Federal Republic of Germany,NA,NA,NA,NA,
1988,Chemistry,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",1.מרץ,270,Individual,Johann Deisenhofer,30.9.1943,Zusamaltheim,Germany,Germany,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,NA,NA,NA,NA,
1989,Chemistry,The Nobel Prize in Chemistry 1989,"""for their discovery of catalytic properties of RNA""",1.פבר׳,273,Individual,Sidney Altman,7.5.1939,Montreal,Canada,Canada,Male,Yale University,"New Haven, CT",United States of America,NA,NA,NA,NA,
1989,Chemistry,The Nobel Prize in Chemistry 1989,"""for their discovery of catalytic properties of RNA""",1.פבר׳,274,Individual,Thomas R. Cech,8.12.1947,"Chicago, IL",United States of America,United States of America,Male,University of Colorado,"Boulder, CO",United States of America,NA,NA,NA,NA,
1990,Chemistry,The Nobel Prize in Chemistry 1990,"""for his development of the theory and methodology of organic synthesis""",1.ינו׳,275,Individual,Elias James Corey,12.7.1928,"Methuen, MA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,NA,
1991,Chemistry,The Nobel Prize in Chemistry 1991,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",1.ינו׳,276,Individual,Richard R. Ernst,14.8.1933,Winterthur,Switzerland,Switzerland,Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,NA,NA,NA,NA,
1992,Chemistry,The Nobel Prize in Chemistry 1992,"""for his contributions to the theory of electron transfer reactions in chemical systems""",1.ינו׳,277,Individual,Rudolph A. Marcus,21.7.1923,Montreal,Canada,Canada,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,NA,NA,NA,NA,
1993,Chemistry,The Nobel Prize in Chemistry 1993,"""for contributions to the developments of methods within DNA-based chemistry; for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies""",1.פבר׳,279,Individual,Michael Smith,26.4.1932,Blackpool,United Kingdom,United Kingdom,Male,University of British Columbia,Vancouver,Canada,4.10.2000,Vancouver,Canada,Canada,
1993,Chemistry,The Nobel Prize in Chemistry 1993,"""for contributions to the developments of methods within DNA-based chemistry; for his invention of the polymerase chain reaction (PCR) method""",1.פבר׳,278,Individual,Kary B. Mullis,28.12.1944,"Lenoir, NC",United States of America,United States of America,Male,NA,"La Jolla, CA",United States of America,NA,NA,NA,NA,
1994,Chemistry,The Nobel Prize in Chemistry 1994,"""for his contribution to carbocation chemistry""",1.ינו׳,280,Individual,George A. Olah,22.5.1927,Budapest,Hungary,Hungary,Male,University of Southern California,"Los Angeles, CA",United States of America,NA,NA,NA,NA,
1995,Chemistry,The Nobel Prize in Chemistry 1995,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",1.מרץ,281,Individual,Paul J. Crutzen,3.12.1933,Amsterdam,Netherlands,Netherlands,Male,Max-Planck-Institut für Chemie,Mainz,Federal Republic of Germany,NA,NA,NA,NA,
1995,Chemistry,The Nobel Prize in Chemistry 1995,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",1.מרץ,282,Individual,Mario J. Molina,19.3.1943,Mexico City,Mexico,Mexico,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,NA,NA,NA,NA,
1995,Chemistry,The Nobel Prize in Chemistry 1995,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",1.מרץ,283,Individual,F. Sherwood Rowland,28.6.1927,"Delaware, OH",United States of America,United States of America,Male,University of California,"Irvine, CA",United States of America,10.3.2012,"Corona del Mar, CA",United States of America,United States of America,
1996,Chemistry,The Nobel Prize in Chemistry 1996,"""for their discovery of fullerenes""",1.מרץ,284,Individual,Robert F. Curl Jr.,23.8.1933,"Alice, TX",United States of America,United States of America,Male,Rice University,"Houston, TX",United States of America,NA,NA,NA,NA,
1996,Chemistry,The Nobel Prize in Chemistry 1996,"""for their discovery of fullerenes""",1.מרץ,285,Individual,Sir Harold W. Kroto,7.10.1939,Wisbech,United Kingdom,United Kingdom,Male,University of Sussex,Brighton,United Kingdom,30.4.2016,"Lewes, East Sussex",United Kingdom,United Kingdom,
1996,Chemistry,The Nobel Prize in Chemistry 1996,"""for their discovery of fullerenes""",1.מרץ,286,Individual,Richard E. Smalley,6.6.1943,"Akron, OH",United States of America,United States of America,Male,Rice University,"Houston, TX",United States of America,28.10.2005,"Houston, TX",United States of America,United States of America,
